"plot"	"ID"	"sp"	"Al"	"B"	"Ca"	"Cu"	"Fe"	"K.conc"	"Mg"	"Mn"	"Na"	"P.conc"	"Zn"	"C"	"N.conc"	"Delta13C"	"Delta15N"	"Cnratio"	"Cpratio"	"Npratio"	"N"	"P"	"K"	"block"	"repl"	"micro"	"tmt"
11	"MG010"	"ALSEBL"	0.219521712	0.06720777	14.08769389	0.015589996	0.129620541	25.34771005	5.634857152	0.078486813	0.608317402	1.072515347	0.027520736	42.71868694	3.852315855	-36.12446644	-1.524519396	11.08909252	398.3037357	35.91851496	1	0	0	2	2	0	"N"
11	"7747"	"TET2PA"	0.118210235	0.047120576	6.831250573	0.009008258	0.080641336	4.082310622	2.872665533	0.401088175	1.039206338	0.769981365	0.015593344	45.30102103	1.86298423	-33.7610552	1.117145704	24.31637385	588.3391873	24.19518596	1	0	0	2	2	0	"N"
12	"MG017"	"TET2PA"	0.084562864	0.049856361	7.01776557	-0.001298957	0.062455909	7.197454844	2.69576707	0.304904002	1.279429812	0.678370955	0.013777607	42.53827069	1.576169826	-34.89632273	-0.575459476	26.9883803	627.0650354	23.23463018	0	0	0	1	2	0	"CTL"
12	"41315"	"HEISCO"	0.04075963	0.055666542	11.07245762	0.003288622	0.047998801	11.39801242	4.194139087	0.139403054	0.175985011	1.003676446	0.02050986	48.82085883	2.270056031	-35.58810877	-0.284061017	21.50645542	486.4202902	22.61740862	0	0	0	1	2	0	"CTL"
12	"MG018"	"ALSEBL"	0.12047813	0.074661566	10.64368798	-0.012186257	0.103948422	22.56342946	5.627286714	0.154752853	0.56551498	1.202566529	0.024761786	42.66489802	3.028821726	-35.47620698	-0.948202849	14.08630216	354.7820181	25.18631321	0	0	0	1	2	0	"CTL"
13	"47079"	"ALSEBL"	0.108903994	0.080032642	12.18606673	0.019432922	0.139436425	31.14162944	4.880813419	0.065179051	0.475914808	2.784737631	0.028923822	42.61886489	3.319694821	-34.38890238	-0.598474191	12.8381876	153.0444535	11.92103265	0	1	1	1	2	0	"PK"
13	"8976"	"HEISCO"	0.081121678	0.049767036	7.615490755	0.009188906	0.072222128	18.25332542	3.537312579	0.065110175	0.268286321	2.023117873	0.017668077	47.39833079	2.299259692	-36.28318481	0.537661892	20.6146052	234.2835849	11.36493193	0	1	1	1	2	0	"PK"
13	"40713"	"TET2PA"	0.098839805	0.039560072	7.20378526	0.011415656	0.078394473	7.027126542	2.084444161	0.307028296	0.821325357	1.065864646	0.012326627	43.14711313	1.468197899	-35.8509396	0.635962474	29.38780472	404.8085588	13.77471243	0	1	1	1	2	0	"PK"
14	"13545"	"TET2PA"	0.088831495	0.041814424	6.161541572	0.008106767	0.062653314	8.298596862	2.089729938	0.292793514	0.948003203	1.12442444	0.011655725	43.94524053	1.552616593	-34.10554368	1.326512819	28.30398743	390.8243094	13.80810073	0	1	0	2	2	0	"P"
14	"11565"	"HEISCO"	0.108781346	0.053827754	11.18882687	0.012602709	0.087297751	13.71251731	4.655929328	0.166107855	0.287409686	1.938221845	0.017191901	48.19692031	2.300491376	-35.39552867	0.185581607	20.9507068	248.6656543	11.86908187	0	1	0	2	2	0	"P"
14	"MG011"	"ALSEBL"	0.110151221	0.065515354	13.05353213	0.011804239	0.118279192	26.60080125	5.670451627	0.046406177	0.93168367	2.020263398	0.018047651	42.85312803	3.977566089	-34.52679385	0.941525811	10.7737061	212.1165392	19.68835396	0	1	0	2	2	0	"P"
15	"MG020"	"ALSEBL"	0.381763895	0.088531956	17.11459367	0.020714286	0.329859939	13.24687137	8.116657187	0.100623669	0.702195117	1.882167747	0.020274436	42.48128899	3.715218322	-34.16231652	-0.213553939	11.43439909	225.7040536	19.73903936	1	1	0	1	2	0	"NP"
